description,name
"We present a novel approach for interactively synthesizing motions for characters navigating in complex environments. We focus on the runtime efficiency for motion generation, thereby enabling the interactive animation of a large number of characters simultaneously. The key idea is to precompute search trees of motion clips that can be applied to arbitrary environments. Given a navigation goal relative to a current body position, the best available solution paths and motion sequences can be efficiently extracted during runtime through a series of table lookups. For distant start and goal positions, we first use a fast coarse-level planner to generate a rough path of intermediate sub-goals to guide each iteration of the runtime lookup phase.We demonstrate the efficiency of our technique across a range of examples in an interactive application with multiple autonomous characters navigating in dynamic environments. Each character responds in real-time to arbitrary user changes to the environment obstacles or navigation goals. The runtime phase is more than two orders of magnitude faster than existing planning methods or traditional motion synthesis techniques. Our technique is not only useful for autonomous motion generation in games, virtual reality, and interactive simulations, but also for animating massive crowds of characters offline for special effects in movies.",Precomputed search trees: planning for interactive goal-driven animation
"Given a sequence of n real numbers and an integer k, 1 ≤ k ≤ 1/2n(n - 1), the k maximum-sum segments problem is to locate the k segments whose sums are the k largest among all possible segment sums. Recently, Bengtsson and Chen gave an O(min{k + n log2 n, n√k})-time algorithm for this problem. Bae and Takaoka later proposed a more efficient algorithm for small k. In this paper, we propose an O(n + k log(min{n, k}))-time algorithm for the same problem, which is superior to both of them when k is o(n log n). We also give the first optimal algorithm for delivering the k maximum-sum segments in non-decreasing order if k ≤ n. Then we develop an O(n2d-1 + k log min{n, k})-time algorithm for the d-dimensional version of the problem, where d > 1 and each dimension, without loss of generality, is of the same size n. This improves the best previously known O(n2d-1C)-time algorithm, also by Bengtsson and Chen, where C = min{k + n log2 n, n√k}. It should be pointed out that, given a two-dimensional array of size m × n, our algorithm for finding the k maximum-sum subarrays is the first one achieving cubic time provided that k is O(m2n/log n).",Improved algorithmms for the k maximum-sums problems
"Use different real positive numbers p""i to represent all kinds of pattern categories, after mapping the inputted patterns into a special feature space by a non-linear mapping, a linear relation between the mapped patterns and numbers p""i is assumed, whose bias and coefficients are undetermined, and the hyper-plane corresponding to zero output of the linear relation is looked as the base hyper-plane. To determine the pending parameters, an objective function is founded aiming to minimize the difference between the outputs of the patterns belonging to a same type and the corresponding p""i, and to maximize the distance between any two different hyper-planes corresponding to different pattern types. The objective function is same to that of support vector regression in form, so the coefficients and bias of the linear relation are calculated by some known methods such as SVM^l^i^g^h^t approach. Simultaneously, three methods are also given to determine p""i, the best one is to determine them in training process, which has relatively high accuracy. Experiment results of the IRIS data set show that, the accuracy of this method is better than those of many SVM-based multi-class classifiers, and close to that of DAGSVM (decision-directed acyclic graph SVM), emphatically, the recognition speed is the highest.",A novel and quick SVM-based multi-class classifier
"Many databases contain uncertain and imprecise references to real-world entities. The absence of identifiers for the underlying entities often results in a database which contains multiple references to the same entity. This can lead not only to data redundancy, but also inaccuracies in query processing and knowledge extraction. These problems can be alleviated through the use of entity resolution. Entity resolution involves discovering the underlying entities and mapping each database reference to these entities. Traditionally, entities are resolved using pairwise similarity over the attributes of references. However, there is often additional relational information in the data. Specifically, references to different entities may cooccur. In these cases, collective entity resolution, in which entities for cooccurring references are determined jointly rather than independently, can improve entity resolution accuracy. We propose a novel relational clustering algorithm that uses both attribute and relational information for determining the underlying domain entities, and we give an efficient implementation. We investigate the impact that different relational similarity measures have on entity resolution quality. We evaluate our collective entity resolution algorithm on multiple real-world databases. We show that it improves entity resolution performance over both attribute-based baselines and over algorithms that consider relational information but do not resolve entities collectively. In addition, we perform detailed experiments on synthetically generated data to identify data characteristics that favor collective relational resolution over purely attribute-based algorithms.",Collective entity resolution in relational data
"The complexity of animating trees, shrubs and foliage is an impediment to the efficient and realistic depiction of natural environments. This paper presents an algorithm to extract, from a single video sequence, motion fields of real shrubs under the influence of wind, and to transfer this motion to the animation of complex, synthetic 3D plant models. The extracted motion is retargeted without requiring physical simulation. First, feature tracking is applied to the video footage, allowing the 2D position and velocity of automatically identified features to be clustered. A key contribution of the method is that the hierarchy obtained through statistical clustering can be used to synthesize a 2D hierarchical geometric structure of branches that terminates according to the cut-off threshold of a classification algorithm. This step extracts both the shape and the motion of a hierarchy of features groups that are identified as geometrical branches. The 2D hierarchy is then extended to three dimensions using the estimated spatial distribution of the features within each group. Another key contribution is that this 3D hierarchical structure can be efficiently used as a motion controller to animate any complex 3D model of similar but non-identical plants using a standard skinning algorithm. Thus, a single video source of a moving shrub becomes an input device for a large class of virtual shrubs. We illustrate the results on two examples of shrubs and one outdoor tree. Extensions to other outdoor plants are discussed.",Hierarchical retargetting of 2D motion fields to the animation of 3D plant models
"We consider involutory antimorphisms ϕ of a free monoid A* and their fixed points, called ϕ-palindromes or pseudopalindromes. A ϕ-palindrome reduces to a usual palindrome when ϕ is the reversal operator. For any word w ∈ A* the right (resp. left) ϕ-palindrome closure of w is the shortest ϕ-palindrome having w as a prefix (resp. suffix). We prove some results relating ϕ-palindrome closure operators with periodicity and conjugacy, and derive some interesting closure properties for the languages of finite Sturmian and episturmian words. In particular, a finite word w is Sturmian if and only if both its palindromic closures are so. Moreover, in such a case, both the palindromic closures of w share the same minimal period of w. A new characterization of finite Sturmian words follows, in terms of periodicity and special factors of their palindromic closures. Some weaker results can be extended to the episturmian case. By using the right ϕ-palindrome closure, we extend the construction of standard episturmian words via directive words. In this way one obtains a family of infinite words, called ϕ-standard words, which are morphic images of episturmian words, as well as a wider family of infinite words including the Thue-Morse word on two symbols.",Pseudopalindrome closure operators in free monoids
"This paper proposes a hybrid genetic algorithm (a-hGA) with adaptive local search scheme. For designing the a-hGA, a local search technique is incorporated in the loop of genetic algorithm (GA), and whether or not the local search technique is used in the GA is automatically determined by the adaptive local search scheme. Two modes of adaptive local search schemes are developed in this paper. First mode is to use the conditional local search method that can measure the average fitness values obtained from the continuous two generations of the a-hGA, while second one is to apply the similarity coefficient method that can measure a similarity among the individuals of the population of the a-hGA. These two adaptive local search schemes are included in the a-hGA loop, respectively. Therefore, the a-hGA can be divided into two types: a- hGA1 and a-hGA2. To prove the efficiency of the a-hGA1 and a-hGA2, a canonical GA (cGA) and a hybrid GA (hGA) with local search technique and without any adaptive local search scheme are also presented. In numerical example, all the algorithms (cGA, hGA, a-hGA1 and a-hGA2) are tested and analyzed. Finally, the efficiency of the proposed a-hGA1 and a-hGA2 is proved by various measures of performance.",Hybrid genetic algorithm with adaptive local search scheme
"Graph bandwidth minimization (GBM) is a classical and challenging problem in graph algorithms and combinatorial optimization. Most of existing researches on this problem have focused on unweighted graphs. In this paper, we study the bandwidth minimization problem of weighted caterpillars, and propose several algorithms for solving various types of caterpillars and general graphs. More specifically, we show that the GBM problem on caterpillars with hair-length at most 2 and the GBM problem on star-shape caterpillars are NP-complete, and give a lower bound of the graph bandwidth for general weighted graphs. For caterpillars with hair-length at most 1, we present an O(n log n log(nwmax))-time algorithm to compute an optimal bandwidth layout, where n is the total number of vertices in the graph and wmax is the maximum wedge weight. For caterpillars with hair-length at most k, we give a k-approximation algorithm. For arbitrary caterpillars and general graphs, we give a heuristic algorithm and some experimental results. Experiments show that the solutions obtained by our heuristic algorithm are roughly within a factor of clog(n) of the lower bound for a small number c, which is consistent with the inapproximability results of this problem (i.e., no constant approximation for the GBM problem unless P = NP).",Graph bandwidth of weighted caterpillars
"One of the typical causes of errors in team cooperative activities, such as in central control rooms of power plants and cockpits in aircrafts, is conflicts among team members' intentions. If mutual awareness and communication were perfectly established and maintained, conflicts could be detected and recovered by team members; however, this does not happen in practice. In this paper, we provide a framework for detecting conflicts among team members' intentions based on team intention inference, aiming to make machines function as a coordinator for cooperative activities. In previous work, we developed a method for team intention inference based on a definition of 'we-intention'. We-intention is other-regarding intentions relating to situations in which some agents act together, and is represented as a set of individual intentions and mutual beliefs. In this framework, a conflict can be defined as a set of individual intentions and false beliefs (undesired procedures), and detected by searching for such combinations. We applied the proposed method to the operation of a plant simulator operated by a two-person team, and it was confirmed through an experiment that this method could list candidates for conflicts by type and set the actual conflict high in priority in the tested context.",A method for conflict detection based on team intention inference
"We present a method for scattered data approximation with subdivision surfaces which actually uses the true representation of the limit surface as a linear combination of smooth basis functions associated with the control vertices. This is unlike previous techniques which used only piecewise linear approximations of the limit surface. By this we can assign arbitrary parameterizations to the given sample points, including those generated by parameter correction. We present a robust and fast algorithm for exact closest point search on Loop surfaces by combining Newton iteration and non-linear minimization. Based on this we perform unconditionally convergent parameter correction to optimize the approximation with respect to the L2 metric and thus we make a well-established scattered data fitting technique which has been available before only for B-spline surfaces, applicable to subdivision surfaces. Further we exploit the fact that the control mesh of a subdivision surface can have arbitrary connectivity to reduce the L&infin; error up to a certain user-defined tolerance by adaptively restructuring the control mesh. By employing iterative least squares solvers, we achieve acceptable running times even for large amounts of data and we obtain high quality approximations by surfaces with relatively low control mesh complexity compared to the number of sample points. Since we are using plain subdivision surfaces, there is no need for multiresolution detail coefficients and we do not have to deal with the additional overhead in data and computational complexity associated with them.",Optimization techniques for approximation with subdivision surfaces
"K42 is one of the few recent research projects that is examining operating system design structure issues in the context of new whole-system design. K42 is open source and was designed from the ground up to perform well and to be scalable, customizable, and maintainable. The project was begun in 1996 by a team at IBM Research. Over the last nine years there has been a development effort on K42 from between six to twenty researchers and developers across IBM, collaborating universities, and national laboratories. K42 supports the Linux API and ABI, and is able to run unmodified Linux applications and libraries. The approach we took in K42 to achieve scalability and customizability has been successful.The project has produced positive research results, has resulted in contributions to Linux and the Xen hypervisor on Power, and continues to be a rich platform for exploring system software technology. Today, K42, is one of the key exploratory platforms in the DOE's FAST-OS program, is being used as a prototyping vehicle in IBM's PERCS project, and is being used by universities and national labs for exploratory research. In this paper, we provide insight into building an entire system by discussing the motivation and history of K42, describing its fundamental technologies, and presenting an overview of the research directions we have been pursuing.",K42: building a complete operating system
"Diffusions of new products and technologies through social networks can be formalized as spreading of infectious diseases. However, while epidemiological models describe infection in terms of transmissibility, we propose a diffusion model that explicitly includes consumer decision-making affected by social influences and word-of-mouth processes. In our agent-based model consumers' probability of adoption depends on the external marketing effort and on the internal influence that each consumer perceives in his/her personal networks. Maintaining a given marketing effort and assuming its effect on the probability of adoption as linear, we can study how social processes affect diffusion dynamics and how the speed of the diffusion depends on the network structure and on consumer heterogeneity. First, we show that the speed of diffusion changes with the degree of randomness in the network. In markets with high social influence and in which consumers have a sufficiently large local network, the speed is low in regular networks, it increases in small-world networks and, contrarily to what epidemic models suggest, it becomes very low again in random networks. Second, we show that heterogeneity helps the diffusion. Ceteris paribus and varying the degree of heterogeneity in the population of agents simulation results show that the more heterogeneous the population, the faster the speed of the diffusion. These results can contribute to the development of marketing strategies for the launch and the dissemination of new products and technologies, especially in turbulent and fashionable markets.",Diffusion dynamics in small-world networks with heterogeneous consumers
"Energy efficiency becomes increasingly important in today's high-performance storage systems. It can be challenging to save energy and improve performance at the same time in conventional (i.e. single-rotation-rate) disk-based storage systems. Most existing solutions compromise performance for energy conservation. In this paper, we propose a redundancy-based, two-level I/O cache architecture called RIMAC to address this problem. The idea of RIMAC is to enable data on the standby disk to be recovered by accessing data in the two-level I/O cache or on currently active/idle disks. At both cache and disk levels, RIMAC dynamically transforms accesses toward standby disks by exploiting parity redundancy in parity-based redundant disk arrays. Because I/O requests that require physical accesses on standby disks involve long waiting time and high power consumption for disk spin-up (tens of seconds for SCSI disks), transforming those requests to accesses in a two-level, collaborative I/O cache or on active disks can significantly improve both energy efficiency and performance.In RIMAC, we developed i) two power-aware read request transformation schemes called Transformable Read in Cache (TRC) and Transformable Read on Disk (TRD), ii) a power-aware write request transformation policy for parity update and iii) a second-chance parity cache replacement algorithm to improve request transformation rate. We evaluated RIMAC by augmenting a validated storage system simulator, disksim. For several real-life server traces including HP's cello 99, TPC-D and SPC's search engine, RIMAC is shown to reduce energy consumption by up to 33% and simultaneously improve the average response time by up to 30%.","RIMAC: a novel redundancy-based hierarchical cache architecture for energy efficient, high performance storage systems"
"Signature-based network intrusion-detection systems (NIDSs) often report a massive number of simple alerts of low-level security-related events. Many of these alerts are logically involved in a single multi-stage intrusion incident and a security officer often wants to analyze the complete incident instead of each individual simple alert. This paper proposes a well-structured model that abstracts the logical relation between the alerts in order to support automatic correlation of those alerts involved in the same intrusion. The basic building block of the model is a logical formula called a capability. We use capability to abstract consistently and precisely all levels of accesses obtained by the attacker in each step of a multistage intrusion. We then derive inference rules to define logical relations between different capabilities. Based on the model and the inference rules, we have developed several novel alert correlation algorithms and implemented a prototype alert correlator. The experimental results of the correlator using several intrusion datasets demonstrate that the approach is effective in both alert fusion and alert correlation and has the ability to correlate alerts of complex multistage intrusions. In several instances, the alert correlator successfully correlated more than two thousand Snort alerts involved in massive scanning incidents. It also helped us find two multistage intrusions that were missed in auditing by the security officers.",Modeling network intrusion detection alerts for correlation
"In the literature, on the numerical solution of nonlinear time dependent partial differential equations, much attention has been paid to numerical processes which have the favourable property of being total variation bounded (TVB). A popular approach to guaranteeing the TVB property consists in demanding that the process has the stronger property of being total variation diminishing (TVD).For Runge-Kutta methods--applied to semi-discrete approximations of partial differential equations--conditions on the time step were established which guarantee the TVD property; see, e.g., [J. Comput. Phys. 77 (1988) 439; Math. Comp. 67 (1998) 73; SIAM Rev. 43 (2001) 89; SIAM J. Numer. Anal. (2002), in press; Higueras, Tech. Report, Universidad Pública de Navarra, 2002; SIAM J. Numer. Anal. 40 (2002) 469]. These conditions were derived under the assumption that the simple explicit Euler time stepping process is TVD.However, for various important semi-discrete approximations, the Euler process is TVB but not TVD--see, e.g., [Math. Comp. 49 (1987) 105; Math. Comp. 52 (1989) 411]. Accordingly, the above stepsize conditions for Runge-Kutta methods are not directly relevant to such approximations, and there is a need for stepsize restrictions with a wider range of applications.In this paper, we propose a general theory yielding stepsize restrictions which cover a larger class of semi-discrete approximations than covered thus far in the literature. In particular, our theory gives stepsize restrictions, for general Runge-Kutta methods, which guarantee total-variation-boundedness in situations where the Euler process is TVB but not TVD.",Stepsize restrictions for total-variation-boundedness in general Runge-Kutta procedures
"When conducting experiments, the selected quality characteristic should as far as possible be a continuous variable and be easy to measure. Due to the inherent nature of the quality characteristic or the convenience of the measurement technique and cost-effectiveness, the data observed in many experiments are ordered categorical. To analyze ordered categorical data for optimizing factor settings, there are three widely accepted approaches: Taguchi's accumulation analysis, Nair's scoring scheme and Jeng's weighted probability scoring scheme. In this paper, a simpler method named the weighted SN ratio method for analyzing ordered categorical data is introduced. A case study involving optimizing the polysilicon deposition process for minimizing surface defects and achieving the target thickness in a very large-scale integrated circuit can demonstrate the four approaches. Finally, comparative analyses of efficiency for employing the four approaches to optimize factor settings are presented according to simulated experimental data that are normally, Weibull and Gamma distributed. From the results, it is obvious that the weighted SN ratio method has the properties of easy computation and uses one-step optimization to obtain the optimal factor settings. Its efficiency is slightly less than that of the scoring scheme, better than that of the accumulation analysis and the weighted probability-scoring scheme.",A comparative study on optimization methods for experiments with ordered categorical data
"This paper presents a new technique of computer-aided analysis and recognition of pathological wrist bone lesions. This method uses artificial intelligence (AI) techniques and mathematical linguistics allowing to evaluate automatically and analyse the structure of the said bones, based on palm radiological images. Possibilities of computer interpretation of selected images, based on the methodology of automatic medical image understanding, as introduced by the authors, were created owing to the introduction of an original relational description of individual palm (wrist) bones. This description has been built with the use of graph linguistic formalisms already applied in artificial intelligence. These were, however, developed and adjusted to the needs of automatic medical image understanding in earlier works of the authors, as specified in the bibliography section of this paper. The research described in this paper has demonstrated that the for needs of palm (wrist) bone diagnostics, specialist linguistic tools such as expansive graph grammars and EDT-label graphs are particularly well-suited. Defining a graph image language adjusted to the specific features of the scientific problem here-described allowed for a semantic description of correct palm bone structures (with consideration to idiosyncratic features). It also enabled interpretation of images showing some in-born lesions, such as additional bones; or acquired lesions such as their incorrect junctions resulting from injuries and synostoses.",Image languages in intelligent radiological palm diagnostics
"In parallel computing structures, Hypercubes [P. J. Wan, L. W. Liu, Y. Yang, Optimal routing based on the super-topology in Hypercube WDM networks, 1999, pp. 142-149] and [Y. R. Leu, S. Y. Kuo, A fault-tolerant tree communication scheme for hypercube systems, IEEE Trans Comput. 45(6) (1996) 643-650] have many advantages: they support parallel computing, provide disjoint paths, and tolerate faults. If devices with computing capabilities can be linked as a Hypercube by taking advantage of Bluetooth radio's features, then an efficient communication and high-performance computing environment can be established by applying currently used algorithms. A Bluetooth device randomly searches for and connects with other devices, using time-consuming inquiry/inquiry scan and page/page scan operation and hence, results in an uncontrolled scatternet topology and inefficient communications. The present work proposes a three-stage distributed construction protocol for rapidly organizing a Hypercube computing environment that was constructed from Bluetooth devices. The proposed protocol governs the construction of links, the assigning of roles and the formation of the scatternet in order to efficiently construct a Hypercube structure. The constructed scatternet easily enables Bluetooth devices to establish a routing path, tolerate faults and create disjoint paths, and thus, achieves parallel and distributed computing in a Bluetooth wireless environment. Experimental results reveal that the proposed protocol can set up a scatternet that is appropriate for parallel computing and communications.",BlueCube: constructing a hypercube parallel computing and communication environment over bluetooth radio systems
"Parameterization of 3D meshes is important for many graphics and CAD applications, in particular for texture mapping, re-meshing and morphing. Current parameterization methods for closed manifold genus-n meshes usually involve cutting the mesh according to the object generators, fixing the resulting boundary and then applying the 2D position for each of the mesh vertices on a plane, such that the flattened triangles are not too distorted and do not overlap. Unfortunately, fixing the boundary distorts the resulting parameterization, especially near the boundary. A special case is that of closed manifold genus-1 meshes that have two generators. They can therefore be flattened naturally to a plane without the use of a fixed boundary while still maintaining the continuity of the parameterization. Therefore, in treating genus-1 objects, this attribute must be exploited. This paper introduces a generalized method for planar parameterization of closed manifold genus-1 meshes. As in any planar parameterization with a fixed boundary, weights are assigned over the mesh edges. The type of weights defined depends on the type of mesh characteristics to be preserved. The paper proves that the method satisfies the non-overlapping requirement for any type of positive barycentric weights, including nonsymmetrical weights. Moreover, convergence is guaranteed according to the Gauss-Seidel method. The proposed method is simple to implement, fast and robust. The feasibility of the method will be demonstrated on several complex objects.",Planar parameterization for closed 2-manifold genus-1 meshes
